product_name,Price
ASUS NVIDIA GeForce RTX 3070 Noctua OC Edition Graphics Card,700
Babo Botanicals Sheer Mineral Sunscreen Lotion SPF 50,18
BLUELAND Foaming Hand Soap Tablet Refills - 4 Pack,9
Eargasm High Fidelity Earplugs with Blue Filters,39
Black Detangler Brush by Felicia Leatherwood,17
GUM Tongue Cleaner - Dual Action Soft Bristled Tongue Brush,13
PMD Clean Body - Smart Body Cleansing Device,159
Briogeo Curl Charisma Curl Cream,19
Tea Tree Oil Shampoo Sulfate Free,29
First Aid Beauty Ultra Repair Cream Intense Hydration Moisturizer,28
Skinfix Acne+ 2% BHA Acne Spot Treatment,30
Mustela Certified Organic Cleansing Gel,19
The Conquest of the Incas by John Hemming (Paperback),25
"History of the Inca Realm by Maria Rostworowski de Diez Canseco, Harry B. Iceland (Paperback)",29
1491: New Revelations of the Americas Before Columbus by Charles C. Mann (Paperback),11
Kon-Tiki: Across the Pacific in a Raft by Thor Heyerdahl (Mass Market Paperback),8
"Lords of Sipan: A True Story of Pre-Inca Tombs, Archaeology, and Crime by Sidney D. Kirkpatrick (Paperback)",14
High Moon Over the Amazon: My Quest to Understand the Monkeys of the Night by Patricia Chapple Wright (Paperback),19
"Open Veins of Latin America: Five Centuries of the Pillage of a Continent by Eduardo Galeano, Isabel Allende (Paperback)",12
The Last Days of the Incas by Kim MacQuarrie (Kindle Edition),16
Bolivar: American Liberator by Marie Arana (Paperback),16
"Life and Death in the Andes: On the Trail of Bandits, Heroes, and Revolutionaries by Kim MacQuarrie (Paperback)",19
Machu Picchu: Exploring an Ancient Sacred Center (World Heritage and Monuments) by Johan Reinhard (Paperback),39
"Silver, Sword, and Stone: Three Crucibles in the Latin American Story by Marie Arana (Paperback)",12
"The Peculiar Revolution: Rethinking the Peruvian Experiment Under Military Rule by Carlos Aguirre, Paulo Drinot (Paperback)",29
River of Darkness: Francisco Orellana and the Deadly First Voyage through the Amazon by Buddy Levy (Paperback),14
House of the Tiger King by Tahir Shah (Paperback),12
"Seven Interpretive Essays on Peruvian Reality (Texas Pan American Series) by José Carlos Mariátegui, Marjory Urquidi (Paperback)",32
Selected Works of José Carlos Mariátegui by Christian Noakes (Paperback),11
Intimate Enemies: Violence and Reconciliation in Peru (Pennsylvania Studies in Human Rights) by Kimberly Theidon (Paperback),27
Candide by Voltaire (Paperback),6
"The Prince (Penguin Classics) by Niccolo Machiavelli, George Bull (Paperback)",7
Philosopher of the Heart by Clare Carlisle (Paperback),13
"Philosophical Dictionary (Penguin Classics) by Francois Voltaire, Theodore Besterman (Paperback)",14
"Poetics (Penguin Classics) by Aristotle, Malcolm Heath (Paperback)",11
"The Nicomachean Ethics (Penguin Classics) by Aristotle, Hugh Tredennick (Paperback)",11
Machiavelli: His Life and Times by Alexander Lee (Paperback),14
"De Anima (On the Soul) (Penguin Classics) by Aristotle, Hugh Lawson-Tancred (Paperback)",12
"Emile, or On Education by Jean-Jacques Rousseau, Barbara Foxley (Paperback)",11
"A System Of Logic, Ratiocinative And Inductive by John Stuart Mill (Paperback)",12
"Theological-Political Treatise (Hackett Classics) by Baruch Spinoza, Samuel Shirley (Paperback)",20
Voltaire by Ian Davidson (Paperback),18
"Physics (The New Hackett Aristotle) by Aristotle, C. D. C. Reeve (Paperback)",25
"Critique of Judgment (Hackett Classics) by Immanuel Kant, Werner S. Pluhar (Paperback)",27
"Concluding Unscientific Postscript (Princeton Legacy Library) by Søren Kierkegaard, Walter Lowrie (Paperback)",68
Kant: A Biography by Manfred Kuehn (Paperback),39
John Stuart Mill: A Biography by Nicholas Capaldi (Hardcover),65
Spinoza by Steven Nadler (Paperback),19
A Book Forged in Hell: Spinoza's Scandalous Treatise and the Birth of the Secular Age by Steven Nadler (Paperback),15
"The Cambridge Companion to Kierkegaard (Cambridge Companions to Philosophy) by Alastair Hannay, Gordon Daniel Marino (Paperback)",23
The Cambridge Companion to Spinoza (Cambridge Companions to Philosophy) by Don Garrett (Paperback),14
Aristotle: His Life and School by Carlo Natali (Hardcover),35
The Cambridge Companion to Plato (Cambridge Companions to Philosophy) by Richard Kraut (Paperback),38
"Protagoras and Meno (Penguin Classics) by Plato, Adam Beresford (Paperback)",12
"Phaedo (Hackett Classics) by Plato, G. M. A. Grube (Paperback)",10
"The Republic (Penguin Classics) by Plato, Desmond Lee (Paperback)",9
"The Symposium (Penguin Classics) by Plato, Christopher Gill (Paperback)",8
"Phaedrus (Hackett Classics) by Plato, Alexander Nehamas (Paperback)",12
"Timaeus and Critias (Penguin Classics) by Plato, Thomas Kjeller Johansen (Paperback)",12
"Laws (Hackett Classics) by Plato, C. D. C. Reeve (Paperback)",20
Climax [Blu-ray],22
Oldboy: Deluxe Ultra 4K Limited Edition [4K UHD],66
Mommy [Blu-ray],12
Dune 2-Film Collection (4K Ultra HD + Digital) [4K UHD],44
The Act of Killing [Blu-ray],13
Spider-Man Trilogy Blu-ray Collection: Spider-Man (2002) / Spider-Man 2 (2004) / Spider-Man 3 (2007),26
Reservoir Dogs [4K UHD],16
Finding Nemo [Blu-ray 3D + Blu-ray] [Region Free],20
Scream 3-Movie Collection [4K UHD],38
Prisoners (Blu-ray+DVD),10
The Banshees of Inisherin [Blu-ray],26
No Country For Old Men (Blu-ray + Digital),9
2001: A Space Odyssey Podcast,49
Back to the Future: The Ultimate Trilogy [4K Ultra HD],44
Goodfellas (1990) (4K Ultra HD) [4K UHD],19
Donnie Darko [Standard Edition] [Blu-ray] [4K UHD],38
The Lighthouse [Blu-ray],12
SPIDER-MAN HOMECOMING (BLU-RAY 4K ULTRA HD+BLU-RAY),32
The Shawshank Redemption [4K Ultra-HD] [1990] [Blu-ray] [Region Free] [4K UHD],19
Blade Runner 2049 (4K Ultra HD + Blu-ray) (4K Ultra) [4K UHD],21
RATATOUILLE US/EC/UD1/BD1/UD [4K UHD],29
Call Me by Your Name [Blu-ray],14
Scott Pilgrim vs. The World - 4K Ultra HD + Blu-ray + Digital [4K UHD],18
Kill Bill - Volumes 1 & 2 [Blu-ray] (Amazon.com Exclusive),55
Nope (4K Ultra HD + Blu-ray + Digital) [4K UHD],19
Her [Blu-ray],12
The Social Network (Two-Disc Collector's Edition) [Blu-ray],22
The Godfather: Limited Edition Steelbook [4K UHD + Digital Copy],39
Marvel's Avengers: Endgame (3D Blu-ray + Blu-ray),33
Avengers Infinity War 4K Ultra HD + Blu Ray + Digital Code [Blu-ray],25
Inglourious Basterds - 4K Ultra HD + Blu-ray + Digital [4K UHD],17
The Shining (4K Ultra HD) [4K UHD],20
GONE GIRL BD+DHD-GWP [Blu-ray],11
Eternal Sunshine of the Spotless Mind [Blu-ray],11
Spirited Away - Blu-ray + DVD,14
American Psycho 4K [Blu-ray] [2018] [4K UHD],25
"Truman Show, The (1998) (BD) [Blu-ray]",9
Inception (4K Ultra HD & Blu-ray Set) (3-Disc Set) (Blu-ray),63
Midsommar [Blu-ray],14
Whiplash [Blu-ray] [4K UHD],13
Theralogix TheraCal D2000,64
"Garden Of Life D3 - Vitamin Code Whole Food Raw D3 Vitamin Supplement, 2000 Iu, Dairy and Gluten Free, Vegetarian, 120 Capsules",26
"Kyolic Aged Garlic Extract Formula 100, 300 Capsules",21
THORNE PharmaGABA-250,51
Nootropics Depot Shoden Ashwagandha Extract Capsules | 120mg | 30 Count | 35% Withanolides,23
THORNE Theanine - 200mg of L-Theanine,55
Real Herbs Stinging Nettle Root Extract 7500mg,20
Sports Research Turmeric Curcumin C3 Complex - Softgels with Bioperine Black Pepper Extract & Organic Coconut Oil,31
Garden of Life Vegetarian Omega 3 6 9 Supplement - Raw CoQ10 Chia Seed Oil Whole Food Nutrition with Antioxidant Support,40
Pure Encapsulations Magnesium (Glycinate),26
Sports Research Vitamin K2 as MK-7 100mcg with Coconut MCT Oil,17
THORNE Basic Nutrients 2/Day - Comprehensive Daily Multivitamin,32
1MD Complete Probiotics Platinum,83
"Allegra 24HR Adult Non-Drowsy Antihistamine Tablets, 100-Count, 24-Hour Allergy Relief, 180 mg",44
"Nordic Naturals Ultimate Omega, Lemon Flavor - 210 Soft Gels",67
Alesis Recital Pro - 88 Key Digital Piano Keyboard,379
Advanced Origami: An Artist's Guide to Folding Techniques and Paper,16
"Origami Design Secrets: Mathematical Methods for an Ancient Art, Second Edition",77
Origami for the Connoisseur,17
Origami Tessellations: Awe-Inspiring Geometric Designs,31
Taro's Origami Studio TANT Large 10 Inch Double Sided 50 Colors 50 Sheets Square Easy Fold Premium Japanese Paper,25
LEGO Icons Optimus Prime 10302 Transformers Figure Set,143
LEGO Icons Back to The Future Time Machine 10300,
LEGO Icons Dune Atreides Royal Ornithopter 10327,164
"Banpresto One Piece DXF Figure, Brotherhood II Set of 3",127
"Megahouse - One Piece - Playback Memories - Sogeking, Portrait of Pirates Collectible Figure",275
LEGO Star Wars First Order Special Forces TIE Fighter 75101,149
Pentax K1000 Manual Focus SLR Film Camera with Pentax 50mm Lens,244
Leica M6 Rangefinder 35mm Fully Mechanical Operation Camera (10557) + Bag + Cleaning Kit,5684
"Ultimate Ears WONDERBOOM 3, Small Portable Wireless Bluetooth Speaker",84
Hydro Flask 24 Oz Stainless Steel Standard Mouth Water Bottle,29
Yerbero - Hoja De Guanabana Entera (.75 oz - 22gr) Whole Dried Graviola Soursop Leaves,6
Pacsafe Metrosafe LS450 25 Liter Anti Theft Laptop Backpack,159
"Dramamine All Day Less Drowsy, Motion Sickness Relief, 8 Count, 3 Pack",11
Ostrichpillow Go Neck Pillow - Premium Memory Foam Travel Pillow,69
"Master Lock TSA Set Your Own Combination Luggage Lock, TSA Approved Lock",8
"Sony Alpha 7 IV Full-frame Mirrorless Interchangeable Lens Camera, Body Only",2498
"Samsonite Freeform Hardside Expandable with Double Spinner Wheels, Carry-On 21-Inch",189
"SURE LOCK TSA Compatible Travel Luggage Locks, Inspection Indicator",13
Spin-Clean Vinyl Record Washer Deluxe Kit,124
Fluance Turntable Platter Mat (Rubber Black),19
"Pro-Ject Debut Carbon EVO, Audiophile Turntable",599
Plastic Beach by Gorillaz (Vinyl),36
Discovery by Daft Punk (Vinyl),34
Wide Awake! by Parquet Courts (Vinyl),22
"IGOR by Tyler, The Creator (Vinyl)",26
Nurture ULTRA CLEAR by Porter Robinson (Vinyl),39
Sound of Silver by LCD Soundsystem (Vinyl),32
Teens Of Denial by Car Seat Headrest (Vinyl),29
"CALL ME IF YOU GET LOST: The Estate Sale by Tyler, The Creator (Vinyl)",50
MadVillainy by Madvillain (Vinyl),29
BRAT (Amazon Exclusive) by Charli XCX (Vinyl),
Animals by Pink Floyd (Vinyl),26
Illinois by Sufjan Stevens (Vinyl),27
The Low End Theory by A Tribe Called Quest (Vinyl),31
Is This It by The Strokes (Vinyl),21
The Velvet Underground & Nico by Velvet Underground (Vinyl),29
The Queen Is Dead by The Smiths (Vinyl),24
Love by The Beatles (Vinyl),40
Frank Ocean – Blonde Official (Vinyl),106
