Date,Description,Amount
2024-11-18,High-Yield Savings Contribution,-7.50
2024-11-18,Income,40.00
2024-11-19,iCloud Subscription,-2.99
2024-11-19,Income,40.00
2024-11-20,Income,40.00
2024-11-21,Income,40.00
2024-11-22,Income,40.00
2024-11-24,Amazon Visa Chase Credit Card,-313.00
2024-11-24,Income,40.00
2024-11-25,Income,40.00
2024-11-26,Income,40.00
2024-11-27,Income,40.00
2024-11-28,IRS Debt Payment,-50.00
2024-11-28,Income,40.00
2024-11-29,Income,40.00
2024-12-01,Income,40.00
2024-12-02,Payment to Kate,-50.00
2024-12-02,Spotify Subscription,-13.46
2024-12-02,Income,40.00
2024-12-03,Income,40.00
2024-12-04,Income,40.00
2024-12-05,Bank of America Credit Card,-116.00
2024-12-05,Samsung TV Financing,-40.12
2024-12-05,Bank of America Maintenance Fee,-12.00
2024-12-05,Income,40.00
2024-12-06,Income,40.00
2024-12-08,Income,40.00
2024-12-09,Income,40.00
2024-12-10,Dental First Credit Account,-82.00
2024-12-10,DSA Membership,-7.00
2024-12-10,Income,40.00
2024-12-11,OneDrive Subscription,-1.99
2024-12-11,Income,40.00
2024-12-12,Crunchyroll Subscription,-9.05
2024-12-12,Income,40.00
2024-12-13,Income,40.00
2024-12-15,Income,40.00
2024-12-16,Income,40.00
2024-12-17,Income,40.00
2024-12-18,Income,40.00
2024-12-19,Income,40.00
2024-12-20,YouTube Subscription,-9.06
2024-12-20,Roth IRA Contribution,-10.00
2024-12-20,Traditional IRA Contribution,-10.00
2024-12-20,High-Yield Savings Contribution,-7.50
2024-12-20,Income,40.00
2024-12-22,iCloud Subscription,-2.99
2024-12-22,Income,40.00
2024-12-23,Income,40.00
2024-12-24,Amazon Visa Chase Credit Card,-313.00
2024-12-24,Income,40.00
2024-12-25,Income,40.00
2024-12-26,Income,40.00
2024-12-27,Income,40.00
2024-12-28,IRS Debt Payment,-50.00
2024-12-28,Income,40.00
2024-12-29,Income,40.00
2024-12-30,Income,40.00
2024-12-31,Income,40.00
